unit_nr,T24,T30,T50,P15,P30,Nf,Nc,epr,Ps30,BPR,htBleed,W31,W32,T,E
1,642.62,1590.18,1398.01,21.61,554.0,2387.99,9074.66,1.3,47.26,8.422,391,38.92,23.5088,238.0,True
1,642.13,1586.21,1397.07,21.61,554.51,2387.98,9075.72,1.3,47.32,8.4134,392,39.02,23.3533,237.0,True
1,642.05,1586.03,1394.01,21.61,554.36,2387.99,9068.45,1.3,47.17,8.3946,391,39.06,23.4476,236.0,True
1,642.02,1585.13,1394.81,21.61,554.39,2387.96,9072.51,1.3,47.41,8.4162,391,39.07,23.4648,235.0,True
1,641.93,1586.82,1406.62,21.61,553.81,2387.99,9076.1,1.3,47.31,8.3952,391,38.85,23.3842,234.0,True
1,642.37,1585.26,1398.77,21.6,554.79,2387.98,9065.37,1.3,47.28,8.3937,392,38.93,23.3681,233.0,True
1,642.12,1582.77,1400.16,21.61,554.18,2387.98,9065.21,1.3,47.33,8.4132,390,39.06,23.3763,232.0,True
1,643.01,1578.4,1400.24,21.61,554.66,2387.99,9055.81,1.3,47.17,8.4243,391,39.02,23.4666,231.0,True
1,642.04,1587.5,1393.05,21.61,554.1,2387.97,9068.18,1.3,47.22,8.4001,393,39.04,23.4538,230.0,True
1,642.53,1586.99,1396.67,21.6,554.78,2388.03,9068.92,1.3,47.34,8.4513,392,39.12,23.4103,229.0,True
1,642.32,1586.13,1397.47,21.61,553.71,2387.95,9063.81,1.3,47.24,8.3766,390,39.2,23.4302,228.0,True
1,642.11,1587.7,1392.44,21.61,555.28,2388.03,9066.15,1.3,47.17,8.4155,391,39.02,23.3631,227.0,True
1,642.49,1579.54,1399.94,21.61,554.2,2388.0,9059.84,1.3,47.27,8.4126,392,39.16,23.4065,226.0,True
1,642.21,1586.42,1403.41,21.61,554.28,2387.96,9068.03,1.3,47.47,8.4218,391,39.02,23.4787,225.0,True
1,641.8,1590.74,1396.33,21.61,553.75,2388.03,9069.69,1.3,47.55,8.4268,392,38.9,23.2894,224.0,True
1,642.45,1581.86,1395.89,21.61,554.85,2388.02,9067.31,1.3,47.32,8.4141,393,38.91,23.5297,223.0,True
1,642.06,1588.99,1396.98,21.61,554.82,2387.95,9073.55,1.3,47.33,8.3305,393,39.03,23.4539,222.0,True
1,642.49,1588.71,1401.57,21.61,555.03,2388.01,9071.77,1.3,47.3,8.3718,392,38.83,23.4252,221.0,True
1,641.6,1578.79,1400.48,21.61,554.31,2388.02,9074.51,1.3,47.19,8.4005,392,38.91,23.3543,220.0,True
1,642.22,1583.9,1395.26,21.61,554.51,2387.96,9069.77,1.3,47.24,8.3948,394,38.94,23.4083,219.0,True
1,641.96,1582.54,1400.72,21.6,554.61,2387.97,9072.56,1.3,47.32,8.3559,392,39.07,23.3239,218.0,True
1,642.06,1584.71,1403.21,21.61,554.31,2388.0,9071.68,1.3,47.26,8.4148,392,38.86,23.4382,217.0,True
1,642.71,1581.49,1399.38,21.61,553.96,2387.96,9072.52,1.3,47.1,8.4327,392,39.14,23.4357,216.0,True
1,642.69,1585.54,1407.66,21.61,552.85,2387.99,9068.1,1.3,47.26,8.4334,389,39.17,23.3515,215.0,True
1,642.56,1584.23,1407.95,21.61,554.23,2387.96,9066.98,1.3,47.17,8.4343,391,39.01,23.3131,214.0,True
1,642.02,1582.9,1400.5,21.61,554.61,2388.06,9071.26,1.3,47.21,8.4268,392,38.88,23.5009,213.0,True
1,642.6,1592.1,1398.26,21.61,554.11,2388.01,9073.71,1.3,47.28,8.3755,392,39.14,23.269,212.0,True
1,642.44,1583.27,1399.17,21.61,554.16,2388.02,9066.97,1.3,47.27,8.3998,394,39.02,23.3188,211.0,True
1,642.37,1586.75,1393.83,21.61,553.91,2388.04,9076.18,1.3,47.28,8.3804,390,38.92,23.3822,210.0,True
1,642.41,1590.26,1398.51,21.61,554.27,2387.98,9068.53,1.3,47.08,8.4073,392,38.97,23.3748,209.0,True
1,642.2,1587.71,1390.26,21.61,554.71,2387.99,9067.59,1.3,47.21,8.3567,391,38.9,23.4784,208.0,True
1,642.61,1583.3,1403.78,21.61,554.09,2387.97,9063.21,1.3,47.24,8.3914,391,38.97,23.3179,207.0,True
1,642.45,1583.03,1400.06,21.61,553.12,2388.03,9064.82,1.3,47.34,8.411,391,38.91,23.439,206.0,True
1,642.48,1584.68,1406.3,21.61,554.8,2388.03,9068.35,1.3,47.22,8.4074,392,38.99,23.4086,205.0,True
1,642.25,1587.23,1401.26,21.61,554.56,2388.01,9066.05,1.3,47.12,8.4106,391,38.93,23.4395,204.0,True
1,642.79,1585.25,1396.05,21.6,554.24,2388.01,9067.08,1.3,47.07,8.4308,394,38.96,23.4014,203.0,True
1,642.47,1586.13,1396.03,21.61,554.29,2387.97,9074.48,1.3,47.11,8.3816,391,39.0,23.4644,202.0,True
1,641.98,1587.55,1402.61,21.61,553.84,2387.98,9068.44,1.3,47.17,8.4089,393,39.2,23.353,201.0,True
1,642.01,1589.14,1405.41,21.61,554.48,2387.96,9066.73,1.3,47.24,8.4339,393,38.98,23.4888,200.0,True
1,642.52,1578.91,1406.32,21.61,554.16,2388.03,9069.03,1.3,47.31,8.3837,392,38.99,23.3179,199.0,True
1,641.97,1584.13,1400.11,21.61,554.09,2388.01,9075.7,1.3,47.23,8.3578,391,39.19,23.4228,198.0,True
1,642.47,1593.91,1397.99,21.61,554.15,2388.04,9067.62,1.3,47.25,8.4285,390,38.91,23.3841,197.0,True
1,641.82,1583.91,1403.75,21.61,554.73,2388.01,9065.3,1.3,47.32,8.3982,391,38.98,23.4328,196.0,True
1,642.49,1589.38,1399.53,21.61,554.89,2388.0,9072.87,1.3,47.34,8.4168,391,38.92,23.3717,195.0,True
1,642.15,1589.05,1391.23,21.61,554.01,2387.96,9068.0,1.3,47.31,8.398,391,39.07,23.4992,194.0,True
1,642.16,1586.02,1397.9,21.61,554.5,2387.97,9072.46,1.3,47.36,8.4487,391,39.03,23.2868,193.0,True
1,642.01,1585.57,1399.69,21.61,554.3,2388.03,9072.09,1.3,47.36,8.4355,391,38.79,23.2883,192.0,True
1,642.07,1580.92,1401.99,21.61,554.2,2388.04,9072.69,1.3,47.35,8.4185,391,38.97,23.4363,191.0,True
1,642.88,1589.68,1399.78,21.61,553.99,2388.05,9068.54,1.3,47.11,8.4486,392,39.07,23.3217,190.0,True
1,642.34,1591.65,1401.42,21.61,554.43,2388.02,9071.32,1.3,47.26,8.4294,393,39.14,23.3813,189.0,True
1,642.58,1583.72,1397.76,21.61,553.97,2388.03,9073.21,1.3,47.19,8.4168,391,39.13,23.4798,188.0,True
1,641.91,1582.17,1402.51,21.61,554.38,2388.02,9076.78,1.3,47.26,8.4528,392,39.04,23.3875,187.0,True
1,642.02,1586.87,1397.72,21.61,554.42,2388.04,9073.4,1.3,47.34,8.4825,393,39.05,23.3951,186.0,True
1,641.86,1583.99,1399.91,21.61,554.14,2388.01,9065.14,1.3,47.22,8.428,393,39.02,23.3814,185.0,True
1,642.22,1587.16,1396.3,21.61,553.64,2388.0,9064.8,1.3,47.19,8.3836,393,39.02,23.4318,184.0,True
1,642.85,1586.17,1400.01,21.61,554.37,2387.98,9068.07,1.3,47.15,8.4061,392,38.77,23.3529,183.0,True
1,642.02,1581.99,1399.58,21.61,554.14,2388.0,9070.8,1.3,47.29,8.3727,391,38.96,23.3415,182.0,True
1,642.86,1578.35,1400.19,21.61,554.23,2388.01,9074.23,1.3,47.22,8.4288,391,38.88,23.4148,181.0,True
1,642.03,1583.5,1400.42,21.61,553.98,2388.02,9070.53,1.3,47.08,8.3895,391,38.99,23.4047,180.0,True
1,641.53,1586.62,1393.1,21.61,554.63,2388.01,9067.76,1.3,47.22,8.408,393,38.85,23.458,179.0,True
1,642.13,1581.98,1402.49,21.61,553.72,2388.02,9070.82,1.3,47.02,8.4433,394,38.94,23.4212,178.0,True
1,642.55,1587.08,1402.42,21.61,554.5,2388.02,9064.56,1.3,47.19,8.4196,393,39.12,23.3853,177.0,True
1,641.85,1587.23,1401.86,21.61,555.2,2388.01,9063.6,1.3,47.25,8.3843,393,39.0,23.3097,176.0,True
1,641.94,1585.55,1398.99,21.61,554.75,2388.03,9066.72,1.3,47.27,8.3854,390,38.98,23.3584,175.0,True
1,642.57,1587.23,1399.21,21.61,553.87,2388.02,9070.36,1.3,47.43,8.4385,395,38.96,23.4284,174.0,True
1,642.07,1590.38,1403.18,21.61,554.77,2388.02,9065.76,1.3,47.34,8.4299,393,38.88,23.4409,173.0,True
1,642.27,1584.76,1399.41,21.61,553.7,2388.05,9066.48,1.3,47.46,8.4388,392,39.02,23.4712,172.0,True
1,641.46,1587.88,1396.91,21.61,553.85,2387.99,9067.25,1.3,47.23,8.4211,392,39.08,23.3099,171.0,True
1,642.67,1593.73,1406.77,21.61,555.48,2388.06,9069.17,1.3,47.18,8.4099,392,38.88,23.4671,170.0,True
1,642.33,1581.98,1398.82,21.61,554.22,2388.03,9077.2,1.3,47.34,8.3848,392,39.03,23.3154,169.0,True
1,642.58,1592.53,1406.11,21.61,554.64,2388.02,9063.78,1.3,47.37,8.3901,394,38.92,23.3784,168.0,True
1,641.88,1587.25,1398.36,21.61,553.74,2388.0,9076.64,1.3,47.32,8.3986,393,38.92,23.3472,167.0,True
1,642.59,1581.57,1403.57,21.61,554.65,2388.05,9074.6,1.3,47.43,8.3652,392,38.95,23.3151,166.0,True
1,642.7,1585.22,1394.97,21.6,554.19,2387.97,9071.37,1.3,47.09,8.3962,392,38.9,23.247,165.0,True
1,642.8,1577.32,1406.0,21.61,554.29,2388.02,9067.45,1.3,47.31,8.4321,392,38.93,23.3817,164.0,True
1,642.12,1587.08,1398.42,21.61,553.97,2388.04,9066.45,1.3,47.36,8.4205,393,38.78,23.4411,163.0,True
1,642.22,1584.55,1388.13,21.61,554.57,2388.07,9066.66,1.3,47.45,8.4114,392,38.85,23.363,162.0,True
1,642.17,1583.35,1402.22,21.61,553.88,2388.1,9069.55,1.3,47.34,8.4121,393,39.08,23.4234,161.0,True
1,642.83,1584.77,1402.31,21.61,554.0,2388.04,9070.04,1.3,47.22,8.4409,393,38.93,23.3767,160.0,True
1,642.11,1582.26,1402.79,21.61,553.71,2388.01,9065.77,1.3,47.52,8.4052,392,39.09,23.382,159.0,True
1,642.62,1586.4,1400.24,21.61,554.66,2388.01,9074.03,1.3,47.21,8.4032,391,38.89,23.4552,158.0,True
1,642.22,1588.28,1397.95,21.61,554.91,2387.99,9069.34,1.3,47.25,8.4182,392,38.94,23.3971,157.0,True
1,642.34,1591.43,1406.51,21.61,553.81,2388.05,9067.41,1.3,47.33,8.4188,391,38.81,23.3743,156.0,True
1,643.15,1586.31,1411.1,21.61,554.11,2388.04,9070.45,1.3,47.26,8.4575,393,38.88,23.3193,155.0,True
1,642.55,1587.12,1395.09,21.61,554.26,2388.01,9063.92,1.3,47.38,8.3883,391,38.97,23.3032,154.0,True
1,641.93,1590.93,1401.75,21.61,553.8,2388.05,9068.46,1.3,47.28,8.4153,394,38.93,23.3787,153.0,True
1,642.38,1588.34,1399.31,21.61,554.27,2388.08,9065.94,1.3,47.22,8.4068,393,38.9,23.28,152.0,True
1,642.56,1590.93,1405.54,21.61,554.16,2388.02,9070.22,1.3,47.14,8.4414,392,39.08,23.2983,151.0,True
1,642.37,1585.91,1397.9,21.61,554.55,2388.05,9076.76,1.3,47.25,8.4594,392,39.01,23.3321,150.0,True
1,642.12,1591.36,1400.32,21.61,553.78,2387.99,9070.15,1.3,47.32,8.434,393,39.04,23.3809,149.0,True
1,642.06,1587.4,1404.63,21.61,554.03,2387.98,9073.24,1.3,47.19,8.4093,392,38.93,23.3339,148.0,True
1,641.88,1589.21,1401.82,21.61,553.84,2388.08,9066.34,1.3,47.15,8.4442,393,38.97,23.4569,147.0,True
1,642.44,1590.94,1395.41,21.6,553.42,2388.04,9070.28,1.3,47.4,8.4016,392,38.87,23.3987,146.0,True
1,642.79,1585.1,1395.27,21.61,554.29,2388.06,9072.94,1.3,47.25,8.387,393,39.13,23.2932,145.0,True
1,642.25,1580.37,1398.26,21.61,554.09,2388.02,9062.33,1.3,47.39,8.3845,393,38.95,23.3343,144.0,True
1,642.39,1581.54,1398.96,21.61,554.13,2387.98,9074.77,1.3,47.39,8.4266,393,38.98,23.3836,143.0,True
1,642.77,1581.85,1407.21,21.61,553.83,2388.05,9067.42,1.3,47.26,8.4409,391,39.2,23.3679,142.0,True
1,642.38,1590.7,1407.58,21.61,554.57,2388.05,9070.1,1.3,47.12,8.4276,392,39.1,23.2054,141.0,True
1,641.92,1583.7,1398.14,21.61,554.05,2388.03,9074.14,1.3,47.38,8.4109,391,38.8,23.3515,140.0,True
1,642.02,1581.83,1400.56,21.61,553.81,2388.06,9070.68,1.3,47.32,8.4025,393,38.99,23.385,139.0,True
1,642.0,1592.55,1403.78,21.61,554.57,2388.03,9070.67,1.3,47.46,8.4357,392,38.91,23.4777,138.0,True
1,642.68,1583.31,1399.1,21.61,554.54,2388.04,9071.18,1.3,47.35,8.4101,392,39.02,23.2968,137.0,True
1,642.72,1578.55,1405.78,21.61,554.1,2388.05,9059.14,1.3,47.29,8.4197,392,38.91,23.3678,136.0,True
1,642.17,1583.66,1406.43,21.61,554.0,2388.07,9072.01,1.3,47.3,8.4481,393,38.93,23.3135,135.0,True
1,642.19,1583.56,1399.43,21.61,553.71,2387.99,9074.78,1.3,47.21,8.4342,393,38.97,23.3991,134.0,True
1,642.26,1595.19,1404.39,21.61,553.84,2388.05,9070.17,1.3,47.1,8.4001,391,39.0,23.4191,133.0,True
1,641.81,1582.25,1395.27,21.61,554.69,2388.0,9074.2,1.3,47.17,8.4375,392,38.7,23.457,132.0,True
1,642.35,1591.2,1411.85,21.61,553.28,2388.08,9070.85,1.3,47.34,8.434,393,39.07,23.3822,131.0,True
1,641.84,1582.27,1404.35,21.61,553.78,2388.06,9074.18,1.3,47.37,8.3959,392,38.81,23.4251,130.0,True
1,641.77,1581.08,1397.31,21.61,553.87,2388.07,9068.57,1.3,47.33,8.422,393,38.94,23.4846,129.0,True
1,642.25,1589.4,1405.04,21.61,554.12,2388.05,9068.18,1.3,47.36,8.4194,392,38.95,23.403,128.0,True
1,642.97,1585.96,1401.33,21.61,553.52,2388.08,9072.78,1.3,47.33,8.4365,392,38.88,23.3906,127.0,True
1,642.46,1590.51,1399.09,21.61,554.34,2388.01,9067.29,1.3,47.45,8.4134,393,39.07,23.3643,126.0,True
1,642.05,1589.92,1411.38,21.61,554.25,2388.02,9076.24,1.3,47.31,8.418,392,38.94,23.3354,125.0,True
1,642.95,1588.93,1403.46,21.61,553.6,2388.02,9076.78,1.3,47.37,8.4089,392,38.92,23.4502,124.0,True
1,642.57,1594.07,1393.69,21.61,553.77,2388.03,9076.89,1.3,47.15,8.4489,392,38.99,23.3221,123.0,True
1,642.62,1587.92,1402.91,21.61,554.15,2388.07,9070.17,1.3,47.45,8.4177,392,38.83,23.4102,122.0,True
1,642.22,1579.91,1402.44,21.61,553.87,2388.04,9077.92,1.3,47.38,8.4244,393,39.0,23.3819,121.0,True
1,642.71,1583.7,1405.36,21.61,554.23,2388.07,9063.29,1.3,47.5,8.4589,394,38.91,23.4228,120.0,True
1,642.37,1586.7,1408.26,21.61,553.84,2388.05,9065.56,1.3,47.4,8.4018,393,38.97,23.345,119.0,True
1,642.54,1588.67,1397.95,21.61,553.58,2388.07,9062.91,1.3,47.46,8.4207,393,38.83,23.2708,118.0,True
1,642.48,1581.89,1402.66,21.61,553.29,2388.02,9064.41,1.3,47.35,8.4269,393,38.91,23.3837,117.0,True
1,642.5,1590.96,1407.99,21.61,554.04,2388.06,9059.11,1.3,47.28,8.3876,394,38.99,23.311,116.0,True
1,642.01,1588.74,1406.16,21.61,553.22,2388.09,9074.62,1.3,47.62,8.4126,393,38.82,23.3992,115.0,True
1,643.07,1583.36,1408.15,21.61,553.56,2388.0,9076.42,1.3,47.51,8.4365,394,38.81,23.3765,114.0,True
1,642.43,1582.73,1410.11,21.61,553.44,2388.09,9073.48,1.3,47.41,8.4453,391,39.05,23.3544,113.0,True
1,643.09,1597.53,1402.72,21.61,554.06,2388.04,9071.38,1.3,47.32,8.4449,393,39.04,23.2939,112.0,True
1,642.43,1583.8,1401.2,21.61,554.34,2388.05,9071.09,1.3,47.45,8.4132,393,39.02,23.4205,111.0,True
1,642.74,1585.97,1405.27,21.61,554.24,2388.04,9075.79,1.3,47.25,8.4446,394,38.7,23.3524,110.0,True
1,642.27,1589.89,1409.08,21.61,554.29,2388.04,9072.24,1.3,47.28,8.3973,393,38.79,23.3416,109.0,True
1,642.36,1596.85,1404.4,21.61,553.56,2388.09,9069.0,1.3,47.4,8.434,392,38.77,23.3903,108.0,True
1,642.48,1586.24,1403.1,21.61,553.81,2388.09,9071.91,1.3,47.33,8.4372,392,38.7,23.2683,107.0,True
1,642.81,1587.78,1403.82,21.61,553.38,2388.04,9072.99,1.3,47.75,8.4499,393,38.89,23.2798,106.0,True
1,642.42,1593.24,1398.66,21.61,553.39,2388.12,9073.14,1.3,47.34,8.4247,392,38.89,23.3212,105.0,True
1,643.09,1585.47,1408.35,21.61,553.22,2388.03,9072.01,1.3,47.48,8.4498,395,39.13,23.3064,104.0,True
1,642.55,1591.67,1411.96,21.61,553.5,2388.03,9067.73,1.3,47.46,8.421,392,38.88,23.3377,103.0,True
1,642.57,1587.47,1406.08,21.61,553.02,2388.02,9069.25,1.3,47.45,8.454,394,38.87,23.3894,102.0,True
1,641.98,1595.03,1406.49,21.61,553.76,2388.05,9068.65,1.3,47.32,8.4221,393,38.84,23.339,101.0,True
1,642.64,1592.32,1410.8,21.61,553.4,2388.04,9072.28,1.3,47.49,8.4385,393,38.71,23.2224,100.0,True
1,642.36,1594.79,1414.46,21.61,553.55,2388.07,9072.47,1.3,47.52,8.4187,393,38.86,23.2988,99.0,True
1,642.4,1587.14,1406.38,21.61,553.98,2388.08,9075.4,1.3,47.45,8.4228,393,38.87,23.3033,98.0,True
1,642.68,1587.65,1405.36,21.61,553.11,2388.08,9064.41,1.3,47.44,8.4272,394,38.98,23.2133,97.0,True
1,642.68,1590.42,1409.85,21.61,553.45,2388.14,9071.37,1.3,47.38,8.435,393,38.88,23.3244,96.0,True
1,642.64,1584.91,1409.31,21.61,552.9,2388.14,9073.66,1.3,47.54,8.4056,393,38.84,23.2943,95.0,True
1,642.17,1586.09,1404.79,21.61,554.02,2388.06,9073.78,1.3,47.3,8.4598,393,38.87,23.2956,94.0,True
1,642.41,1594.39,1409.85,21.61,553.68,2388.04,9062.81,1.3,47.52,8.4253,392,38.79,23.3268,93.0,True
1,642.68,1586.71,1419.8,21.61,553.74,2388.11,9073.73,1.3,47.48,8.4042,393,38.88,23.344,92.0,True
1,642.34,1586.61,1405.22,21.61,553.39,2388.03,9073.73,1.3,47.33,8.4345,392,38.85,23.3451,91.0,True
1,642.6,1593.15,1411.62,21.61,553.97,2388.08,9067.51,1.3,47.71,8.4199,392,38.77,23.3187,90.0,True
1,642.6,1594.35,1407.91,21.61,553.78,2388.09,9071.14,1.3,47.4,8.4193,394,38.91,23.3639,89.0,True
1,642.41,1587.93,1402.66,21.61,553.84,2388.09,9072.04,1.3,47.52,8.4321,394,38.76,23.2861,88.0,True
1,642.59,1597.51,1412.58,21.61,553.02,2388.07,9071.68,1.3,47.5,8.4624,392,38.81,23.2399,87.0,True
1,642.38,1596.02,1403.04,21.61,553.14,2388.07,9075.66,1.3,47.51,8.4249,393,38.67,23.3147,86.0,True
1,642.16,1597.85,1405.84,21.61,553.59,2388.13,9068.46,1.3,47.65,8.4501,394,38.74,23.2819,85.0,True
1,642.52,1581.68,1406.86,21.61,553.02,2388.06,9078.71,1.3,47.63,8.446,391,38.87,23.2947,84.0,True
1,641.97,1587.37,1409.46,21.61,553.26,2388.12,9069.58,1.3,47.4,8.4514,391,38.9,23.2322,83.0,True
1,642.49,1599.09,1404.38,21.61,552.7,2388.07,9067.53,1.3,47.35,8.4054,393,38.89,23.3296,82.0,True
1,643.04,1588.24,1401.65,21.61,553.11,2388.07,9070.75,1.3,47.42,8.4229,394,38.78,23.2484,81.0,True
1,642.97,1583.04,1407.17,21.61,552.77,2388.1,9071.07,1.3,47.66,8.463,395,38.92,23.1559,80.0,True
1,643.07,1587.34,1406.28,21.61,553.71,2388.11,9070.81,1.3,47.51,8.4065,394,39.09,23.1683,79.0,True
1,642.31,1591.29,1399.5,21.61,553.5,2388.12,9063.79,1.3,47.67,8.4163,393,38.83,23.2364,78.0,True
1,642.37,1593.2,1414.3,21.61,553.46,2388.1,9066.02,1.3,47.52,8.4337,394,38.66,23.2449,77.0,True
1,641.84,1588.43,1412.8,21.61,553.63,2388.05,9070.23,1.3,47.53,8.4299,392,38.73,23.3216,76.0,True
1,642.5,1590.76,1409.58,21.61,553.41,2388.09,9072.91,1.3,47.44,8.4555,393,38.87,23.3773,75.0,True
1,642.72,1584.57,1397.71,21.61,553.72,2388.09,9077.44,1.3,47.79,8.4504,392,38.88,23.3945,74.0,True
1,642.45,1590.89,1410.57,21.61,552.83,2388.07,9077.07,1.3,47.74,8.469,393,38.88,23.2694,73.0,True
1,643.16,1591.08,1409.22,21.61,553.08,2388.08,9072.77,1.3,47.56,8.4452,394,38.77,23.2041,72.0,True
1,643.48,1588.55,1410.73,21.61,553.02,2388.1,9072.27,1.3,47.64,8.451,393,38.8,23.3575,71.0,True
1,642.26,1592.56,1401.97,21.61,553.32,2388.08,9070.68,1.3,47.7,8.4574,394,38.59,23.3812,70.0,True
1,643.11,1590.18,1405.06,21.61,553.25,2388.09,9074.38,1.3,47.55,8.4719,393,38.59,23.3774,69.0,True
1,642.47,1581.9,1414.49,21.61,553.19,2388.12,9078.82,1.3,47.56,8.4651,392,38.65,23.2453,68.0,True
1,642.53,1593.75,1411.18,21.61,553.65,2388.1,9077.27,1.3,47.72,8.4359,393,38.72,23.2512,67.0,True
1,642.71,1590.06,1418.82,21.61,553.24,2388.07,9072.88,1.3,47.73,8.4393,394,38.93,23.2572,66.0,True
1,642.38,1587.37,1405.45,21.61,552.87,2388.05,9081.85,1.3,47.65,8.435,394,38.62,23.2115,65.0,True
1,643.02,1591.26,1418.18,21.61,553.31,2388.13,9075.12,1.3,47.44,8.4705,394,38.63,23.2445,64.0,True
1,642.58,1591.47,1408.16,21.61,552.9,2388.08,9071.12,1.3,47.64,8.4741,393,38.86,23.2751,63.0,True
1,642.77,1591.11,1410.21,21.61,552.78,2388.13,9076.25,1.3,47.8,8.4164,393,38.82,23.2987,62.0,True
1,642.52,1589.14,1410.7,21.61,552.94,2388.09,9068.53,1.3,47.45,8.4579,395,38.73,23.2421,61.0,True
1,642.26,1598.09,1419.18,21.61,552.86,2388.07,9071.63,1.3,47.79,8.4328,395,38.9,23.3191,60.0,True
1,642.92,1595.46,1414.78,21.61,553.46,2388.11,9069.67,1.3,47.56,8.4265,394,38.91,23.3581,59.0,True
1,642.47,1591.02,1409.76,21.61,552.85,2388.11,9060.86,1.3,47.63,8.4533,394,38.77,23.193,58.0,True
1,642.58,1595.01,1411.84,21.61,552.84,2388.09,9077.04,1.3,47.67,8.4601,394,38.7,23.2392,57.0,True
1,642.66,1596.82,1419.02,21.61,552.15,2388.09,9073.55,1.3,47.63,8.4426,393,38.91,23.2576,56.0,True
1,643.02,1594.44,1414.04,21.61,552.98,2388.13,9066.87,1.3,47.51,8.4541,395,38.52,23.3022,55.0,True
1,643.04,1602.53,1414.02,21.61,552.55,2388.11,9072.43,1.3,47.52,8.4402,394,38.53,23.267,54.0,True
1,643.1,1593.55,1409.19,21.61,553.11,2388.14,9074.96,1.3,47.69,8.4413,393,38.91,23.192,53.0,True
1,643.16,1594.88,1414.03,21.61,552.06,2388.1,9073.23,1.3,47.82,8.4689,396,38.76,23.2329,52.0,True
1,642.89,1587.78,1417.01,21.61,552.51,2388.13,9069.99,1.3,47.74,8.4518,393,38.7,23.2955,51.0,True
1,643.23,1599.57,1415.25,21.61,553.02,2388.13,9076.42,1.3,47.58,8.4316,393,38.84,23.2993,50.0,True
1,642.7,1597.98,1407.91,21.61,552.95,2388.14,9070.05,1.3,47.61,8.4702,395,38.77,23.277,49.0,True
1,642.45,1593.28,1413.75,21.61,553.01,2388.12,9068.26,1.3,47.71,8.4516,394,38.57,23.2188,48.0,True
1,642.95,1595.89,1421.28,21.61,553.3,2388.12,9076.18,1.3,47.63,8.4497,394,38.59,23.2353,47.0,True
1,643.2,1590.77,1415.33,21.61,552.36,2388.09,9075.94,1.3,47.69,8.4355,394,38.69,23.0933,46.0,True
1,642.71,1598.86,1413.36,21.61,553.15,2388.09,9069.98,1.3,47.6,8.4425,395,38.66,23.2472,45.0,True
1,643.05,1591.56,1418.03,21.61,552.53,2388.15,9074.71,1.3,47.6,8.4381,395,38.66,23.188,44.0,True
1,643.36,1590.83,1416.89,21.61,552.2,2388.1,9075.52,1.3,47.65,8.4724,396,38.62,23.1276,43.0,True
1,642.92,1598.95,1412.52,21.61,552.22,2388.16,9073.66,1.3,47.78,8.487,393,38.68,23.1859,42.0,True
